concept set,Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date,Domain,Vocabulary,,,,
type 1 diabetes,45769904,9.0771E+13,End stage renal disease on dialysis due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,179,180,90,91,Condition,SNOMED
type 1 diabetes,45773567,1.02781E+14,Sensory neuropathy due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,169,169,33,33,Condition,SNOMED
type 1 diabetes,4224723,422297002,Polyneuropathy associated with type 1 diabetes mellitus,Disorder,Non-Standard,7/30/06,1/30/16,161,161,0,0,Condition,SNOMED
type 1 diabetes,4129518,237626009,Pregnancy and insulin-dependent diabetes mellitus,Disorder,Non-Standard,1/30/02,7/30/13,160,160,0,0,Condition,SNOMED
type 1 diabetes,1571684,O24.0,"Pre-existing type 1 diabetes mellitus, in pregnancy, childbirth and the puerperium",4-char nonbill code,Non-Standard,12/31/11,12/30/99,158,158,0,0,Condition,ICD10CM
type 1 diabetes,4322638,70694009,Wolfram syndrome,Disorder,Standard,1/30/02,12/30/99,140,140,62,62,Condition,SNOMED
type 1 diabetes,788572,10078338,Wolfram syndrome,PT,Classification,8/31/16,12/30/99,0,140,0,62,Measurement,MedDRA
type 1 diabetes,4137214,425442003,Diabetic autonomic neuropathy associated with type 1 diabetes mellitus,Disorder,Non-Standard,7/30/07,1/30/16,134,134,0,0,Condition,SNOMED
type 1 diabetes,37200179,E10.354,Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment,6-char nonbill code,Non-Standard,12/31/16,12/30/99,130,130,0,0,Condition,ICD10CM
type 1 diabetes,45453113,C10E.11,Type I diabetes mellitus,Read,Non-Standard,12/31/69,12/30/99,128,128,0,0,Condition,Read
type 1 diabetes,45769901,9.0731E+13,Chronic kidney disease stage 2 due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,99,99,40,40,Condition,SNOMED
type 1 diabetes,45757432,1.37941E+14,Hyperlipidemia due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,90,90,46,46,Condition,SNOMED
type 1 diabetes,45766051,703137001,Type I diabetes mellitus in remission,Disorder,Standard,7/30/14,12/30/99,90,90,63,63,Condition,SNOMED
type 1 diabetes,45443097,C106000,"Diabetes mellitus, juvenile type, with neurological manifestation",Read,Non-Standard,12/31/69,12/30/99,89,89,0,0,Condition,Read
type 1 diabetes,45769903,9.0761E+13,Chronic kidney disease stage 5 due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,86,86,43,43,Condition,SNOMED
type 1 diabetes,45436529,C10E900,Type 1 diabetes mellitus maturity onset,Read,Non-Standard,12/31/69,12/30/99,82,82,0,0,Condition,Read
type 1 diabetes,765373,1.38901E+14,Severe nonproliferative retinopathy due to diabetes mellitus type 1,Disorder,Standard,2/29/16,12/30/99,82,82,17,17,Condition,SNOMED
type 1 diabetes,198995,190371008,Type 1 diabetes mellitus - poor control,Disorder,Non-Standard,1/30/02,7/30/10,79,79,0,0,Condition,SNOMED
type 1 diabetes,4200873,314894004,Type 1 diabetes mellitus with neuropathic arthropathy,Disorder,Non-Standard,1/30/02,1/30/15,76,76,0,0,Condition,SNOMED
type 1 diabetes,45757674,3.1321E+13,Diabetes mellitus type 1 without retinopathy,Disorder,Standard,1/30/15,12/30/99,66,66,36,36,Condition,SNOMED
type 1 diabetes,45493241,C10EE00,Type 1 diabetes mellitus with hypoglycaemic coma,Read,Non-Standard,12/31/69,12/30/99,61,61,0,0,Condition,Read
type 1 diabetes,45519843,C10EP00,Type 1 diabetes mellitus with exudative maculopathy,Read,Non-Standard,12/31/69,12/30/99,61,61,0,0,Condition,Read
type 1 diabetes,45426566,C10EJ00,Type 1 diabetes mellitus with neuropathic arthropathy,Read,Non-Standard,12/31/69,12/30/99,59,59,0,0,Condition,Read
type 1 diabetes,45771067,7.1701E+13,Hypertension in chronic kidney disease due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,58,59,33,34,Condition,SNOMED
type 1 diabetes,37200193,E10.37,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment",5-char nonbill code,Non-Standard,12/31/16,12/30/99,58,58,0,0,Condition,ICD10CM
type 1 diabetes,4096668,190369008,Type 1 diabetes mellitus with gangrene,Disorder,Non-Standard,1/30/02,7/30/18,50,50,0,0,Condition,SNOMED
type 1 diabetes,45429913,C10E500,Type 1 diabetes mellitus with ulcer,Read,Non-Standard,12/31/69,12/30/99,44,44,0,0,Condition,Read
type 1 diabetes,45466589,C108E00,Insulin dependent diabetes mellitus with hypoglycaemic coma,Read,Non-Standard,12/31/69,12/30/99,43,43,0,0,Condition,Read
type 1 diabetes,40386749,190358005,IDDM with peripheral circulatory disorder,Disorder,Non-Standard,1/30/02,7/30/06,43,43,0,0,Condition,SNOMED
type 1 diabetes,45519845,C10z000,"Diabetes mellitus, juvenile type, with unspecified complication",Read,Non-Standard,12/31/69,12/30/99,42,42,0,0,Condition,Read
type 1 diabetes,45446447,C101000,"Diabetes mellitus, juvenile type, with ketoacidosis",Read,Non-Standard,12/31/69,12/30/99,41,41,0,0,Condition,Read
type 1 diabetes,443592,428896009,Hyperosmolality due to uncontrolled type 1 diabetes mellitus,Disorder,Standard,1/30/08,12/30/99,37,37,29,29,Condition,SNOMED
type 1 diabetes,45449778,C10E400,Unstable type 1 diabetes mellitus,Read,Non-Standard,12/31/69,12/30/99,37,37,0,0,Condition,Read
type 1 diabetes,45453116,C10EM11,Type I diabetes mellitus with ketoacidosis,Read,Non-Standard,12/31/69,12/30/99,36,36,0,0,Condition,Read
type 1 diabetes,45773576,9.0721E+13,Chronic kidney disease stage 1 due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,36,36,17,17,Condition,SNOMED
type 1 diabetes,45480046,C108J00,Insulin dependent diabetes mellitus with neuropathic arthropathy,Read,Non-Standard,12/31/69,12/30/99,34,34,0,0,Condition,Read
type 1 diabetes,4151281,314771006,Type 1 diabetes mellitus with hypoglycemic coma,Disorder,Non-Standard,1/30/02,1/30/20,33,33,0,0,Condition,SNOMED
type 1 diabetes,45483321,C108400,Unstable insulin dependent diabetes mellitus,Read,Non-Standard,12/31/69,12/30/99,29,29,0,0,Condition,Read
type 1 diabetes,45483326,C10E000,Type 1 diabetes mellitus with renal complications,Read,Non-Standard,12/31/69,12/30/99,28,28,0,0,Condition,Read
type 1 diabetes,45453115,C10EC00,Type 1 diabetes mellitus with polyneuropathy,Read,Non-Standard,12/31/69,12/30/99,27,27,0,0,Condition,Read
type 1 diabetes,45459823,C10E100,Type 1 diabetes mellitus with ophthalmic complications,Read,Non-Standard,12/31/69,12/30/99,23,23,0,0,Condition,Read
type 1 diabetes,45523153,C10E300,Type 1 diabetes mellitus with multiple complications,Read,Non-Standard,12/31/69,12/30/99,23,23,0,0,Condition,Read
type 1 diabetes,45496543,C10EA00,Type 1 diabetes mellitus without complication,Read,Non-Standard,12/31/69,12/30/99,22,22,0,0,Condition,Read
type 1 diabetes,45509827,C10EQ11,Type I diabetes mellitus with gastroparesis,Read,Non-Standard,3/31/14,12/30/99,20,20,0,0,Condition,Read
type 1 diabetes,4143689,426907004,Small vessel disease due to type 1 diabetes mellitus,Disorder,Standard,7/30/07,12/30/99,20,20,8,8,Condition,SNOMED
type 1 diabetes,45770986,706894000,Retinopathy due to unstable diabetes mellitus type 1,Disorder,Standard,1/30/15,12/30/99,20,20,4,4,Condition,SNOMED
type 1 diabetes,45439816,C10E200,Type 1 diabetes mellitus with neurological complications,Read,Non-Standard,12/31/69,12/30/99,19,19,0,0,Condition,Read
type 1 diabetes,45459818,C107300,IDDM with peripheral circulatory disorder,Read,Non-Standard,12/31/69,12/30/99,19,19,0,0,Condition,Read
type 1 diabetes,45499868,C10E911,Type I diabetes mellitus maturity onset,Read,Non-Standard,12/31/69,12/30/99,17,17,0,0,Condition,Read
type 1 diabetes,45480048,C10E811,Type I diabetes mellitus - poor control,Read,Non-Standard,3/31/14,12/30/99,16,16,0,0,Condition,Read
type 1 diabetes,45470050,C108A00,Insulin-dependent diabetes without complication,Read,Non-Standard,12/31/69,12/30/99,16,16,0,0,Condition,Read
type 1 diabetes,45443102,C10EF00,Type 1 diabetes mellitus with diabetic cataract,Read,Non-Standard,12/31/69,12/30/99,15,15,0,0,Condition,Read
type 1 diabetes,45519839,C108512,Type 1 diabetes mellitus with ulcer,Read,Non-Standard,12/31/69,12/30/99,14,14,0,0,Condition,Read
type 1 diabetes,45463263,C10EB00,Type 1 diabetes mellitus with mononeuropathy,Read,Non-Standard,12/31/69,12/30/99,14,14,0,0,Condition,Read
type 1 diabetes,609097,16745211000119100,Nonproliferative retinopathy of left eye due to diabetes mellitus type 1,Disorder,Standard,1/30/21,12/30/99,0,14,0,7,Condition,SNOMED
type 1 diabetes,45439817,C10E711,Type I diabetes mellitus with retinopathy,Read,Non-Standard,12/31/69,12/30/99,14,14,0,0,Condition,Read
type 1 diabetes,609108,16746741000119102,Nonproliferative retinopathy of right eye due to diabetes mellitus type 1,Disorder,Standard,1/30/21,12/30/99,0,13,0,6,Condition,SNOMED
type 1 diabetes,609107,16746661000119106,Bilateral nonproliferative retinopathy of eyes due to diabetes mellitus type 1,Disorder,Standard,1/30/21,12/30/99,0,13,0,6,Condition,SNOMED
type 1 diabetes,45480045,C108711,Type I diabetes mellitus with retinopathy,Read,Non-Standard,12/31/69,12/30/99,12,12,0,0,Condition,Read
type 1 diabetes,609098,16745411000119104,Bilateral mild nonproliferative retinopathy due to diabetes mellitus type 1,Disorder,Standard,1/30/21,12/30/99,11,11,5,5,Condition,SNOMED
type 1 diabetes,37396268,716020005,Diabetic embryopathy,Disorder,Standard,7/30/16,12/30/99,11,11,6,6,Condition,SNOMED
type 1 diabetes,45470055,C10E411,Unstable type I diabetes mellitus,Read,Non-Standard,12/31/69,12/30/99,11,11,0,0,Condition,Read
type 1 diabetes,40386762,190370009,Type I diabetes mellitus with retinopathy,Disorder,Non-Standard,1/30/02,7/30/06,11,11,0,0,Condition,SNOMED
type 1 diabetes,609102,16745891000119105,Mild nonproliferative retinopathy of left eye due to diabetes mellitus type 1,Disorder,Standard,1/30/21,12/30/99,0,11,0,5,Condition,SNOMED
type 1 diabetes,609100,16745611000119102,Mild nonproliferative retinopathy of right eye due to diabetes mellitus type 1,Disorder,Standard,1/30/21,12/30/99,0,11,0,5,Condition,SNOMED
type 1 diabetes,45433920,PKyP.11,Wolfram syndrome,Read,Non-Standard,3/31/14,12/30/99,11,11,0,0,Condition,Read
type 1 diabetes,45456476,C10E600,Type 1 diabetes mellitus with gangrene,Read,Non-Standard,12/31/69,12/30/99,10,10,0,0,Condition,Read
type 1 diabetes,45757074,1.04951E+14,Vitreous hemorrhage due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,10,10,9,9,Condition,SNOMED
type 1 diabetes,45516608,C108E11,Type I diabetes mellitus with hypoglycaemic coma,Read,Non-Standard,12/31/69,12/30/99,10,10,0,0,Condition,Read
type 1 diabetes,45499858,C108712,Type 1 diabetes mellitus with retinopathy,Read,Non-Standard,12/31/69,12/30/99,10,10,0,0,Condition,Read
type 1 diabetes,45456474,C108511,Type I diabetes mellitus with ulcer,Read,Non-Standard,12/31/69,12/30/99,9,9,0,0,Condition,Read
type 1 diabetes,45523157,C10EH00,Type 1 diabetes mellitus with arthropathy,Read,Non-Standard,12/31/69,12/30/99,9,9,0,0,Condition,Read
type 1 diabetes,45763585,6.0991E+13,Blindness due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,9,9,4,4,Condition,SNOMED
type 1 diabetes,45473333,C108811,Type I diabetes mellitus - poor control,Read,Non-Standard,12/31/69,12/30/99,8,8,0,0,Condition,Read
type 1 diabetes,45470053,C10C.12,Maturity onset diabetes in youth type 1,Read,Non-Standard,12/31/69,12/30/99,8,8,0,0,Condition,Read
type 1 diabetes,40520430,314887002,Type I diabetes mellitus with diabetic cataract,Disorder,Non-Standard,1/30/02,7/30/06,7,7,0,0,Condition,SNOMED
type 1 diabetes,45519840,C108812,Type 1 diabetes mellitus - poor control,Read,Non-Standard,12/31/69,12/30/99,7,7,0,0,Condition,Read
type 1 diabetes,45769834,7.2041E+13,Osteomyelitis due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,6,6,1,1,Condition,SNOMED
type 1 diabetes,45506456,C108212,Type 1 diabetes mellitus with neurological complications,Read,Non-Standard,12/31/69,12/30/99,6,6,0,0,Condition,Read
type 1 diabetes,45433197,C108F11,Type I diabetes mellitus with diabetic cataract,Read,Non-Standard,12/31/69,12/30/99,5,5,0,0,Condition,Read
type 1 diabetes,45506457,C108E12,Type 1 diabetes mellitus with hypoglycaemic coma,Read,Non-Standard,12/31/69,12/30/99,5,5,0,0,Condition,Read
type 1 diabetes,45436530,C10EA11,Type I diabetes mellitus without complication,Read,Non-Standard,12/31/69,12/30/99,4,4,0,0,Condition,Read
type 1 diabetes,45493242,C10EG00,Type 1 diabetes mellitus with peripheral angiopathy,Read,Non-Standard,12/31/69,12/30/99,4,4,0,0,Condition,Read
type 1 diabetes,37312201,789571005,Ulcer of heel due to type 1 diabetes mellitus,Disorder,Standard,1/30/20,12/30/99,4,4,3,3,Condition,SNOMED
type 1 diabetes,40520436,314892000,Type I diabetes mellitus with peripheral angiopathy,Disorder,Non-Standard,1/30/02,7/30/06,4,4,0,0,Condition,SNOMED
type 1 diabetes,40518525,314377008,Type I diabetes mellitus with nephropathy,Disorder,Non-Standard,1/30/02,7/30/06,4,4,0,0,Condition,SNOMED
type 1 diabetes,45486687,C108011,Type I diabetes mellitus with renal complications,Read,Non-Standard,12/31/69,12/30/99,4,4,0,0,Condition,Read
type 1 diabetes,45516612,C10E611,Type I diabetes mellitus with gangrene,Read,Non-Standard,3/31/14,12/30/99,4,4,0,0,Condition,Read
type 1 diabetes,45470049,C108012,Type 1 diabetes mellitus with renal complications,Read,Non-Standard,12/31/69,12/30/99,3,3,0,0,Condition,Read
type 1 diabetes,40386728,190339001,"Diabetes mellitus, juvenile type, with renal manifestation",Disorder,Non-Standard,1/30/02,7/30/06,3,3,0,0,Condition,SNOMED
type 1 diabetes,45499869,C10EA12,Insulin-dependent diabetes without complication,Read,Non-Standard,3/31/14,12/30/99,3,3,0,0,Condition,Read
type 1 diabetes,45426563,C108H00,Insulin dependent diabetes mellitus with arthropathy,Read,Non-Standard,12/31/69,12/30/99,3,3,0,0,Condition,Read
type 1 diabetes,45499867,C10E311,Type I diabetes mellitus with multiple complications,Read,Non-Standard,12/31/69,12/30/99,3,3,0,0,Condition,Read
type 1 diabetes,45496540,C108D11,Type I diabetes mellitus with nephropathy,Read,Non-Standard,12/31/69,12/30/99,3,3,0,0,Condition,Read
type 1 diabetes,603318,16697421000119103,Moderate nonproliferative retinopathy of left eye due to diabetes mellitus type 1,Disorder,Standard,1/30/21,12/30/99,1,3,1,2,Condition,SNOMED
type 1 diabetes,45420111,C104000,"Diabetes mellitus, juvenile type, with renal manifestation",Read,Non-Standard,12/31/69,12/30/99,3,3,0,0,Condition,Read
type 1 diabetes,45493238,C10E412,Unstable insulin dependent diabetes mellitus,Read,Non-Standard,12/31/69,12/30/99,3,3,0,0,Condition,Read
type 1 diabetes,45769891,8.7471E+13,Ankle ulcer due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,3,3,2,2,Condition,SNOMED
type 1 diabetes,45493230,C102000,"Diabetes mellitus, juvenile type, with hyperosmolar coma",Read,Non-Standard,12/31/69,12/30/99,3,3,0,0,Condition,Read
type 1 diabetes,45453109,C108J12,Type 1 diabetes mellitus with neuropathic arthropathy,Read,Non-Standard,12/31/69,12/30/99,3,3,0,0,Condition,Read
type 1 diabetes,601159,3.67211E+14,Inflammatory dermatosis due to type 1 diabetes mellitus,Disorder,Standard,1/30/21,12/30/99,2,2,1,1,Condition,SNOMED
type 1 diabetes,37312200,789572003,Ulcer of midfoot due to type 1 diabetes mellitus,Disorder,Standard,1/30/20,12/30/99,2,2,2,2,Condition,SNOMED
type 1 diabetes,45436534,C10P011,Type 1 diabetes mellitus in remission,Read,Non-Standard,3/31/14,12/30/99,2,2,0,0,Condition,Read
type 1 diabetes,45516617,C10P000,Type I diabetes mellitus in remission,Read,Non-Standard,3/31/14,12/30/99,2,2,0,0,Condition,Read
type 1 diabetes,45433193,C103000,"Diabetes mellitus, juvenile type, with ketoacidotic coma",Read,Non-Standard,12/31/69,12/30/99,2,2,0,0,Condition,Read
type 1 diabetes,45516614,C10EE12,Insulin dependent diabetes mellitus with hypoglycaemic coma,Read,Non-Standard,3/31/14,12/30/99,2,2,0,0,Condition,Read
type 1 diabetes,42535539,3.68521E+14,Disorder of nerve co-occurrent and due to type 1 diabetes mellitus,Disorder,Standard,1/30/18,12/30/99,2,2,2,2,Condition,SNOMED
type 1 diabetes,45489965,C10E511,Type I diabetes mellitus with ulcer,Read,Non-Standard,12/31/69,12/30/99,2,2,0,0,Condition,Read
type 1 diabetes,603320,16697521000119104,Bilateral moderate nonproliferative retinopathy due to diabetes mellitus type 1,Disorder,Standard,1/30/21,12/30/99,2,2,1,1,Condition,SNOMED
type 1 diabetes,45769833,7.2031E+13,Severe malnutrition due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,2,2,2,2,Condition,SNOMED
type 1 diabetes,603319,16697471000119102,Moderate nonproliferative retinopathy of right eye due to diabetes mellitus type 1,Disorder,Standard,1/30/21,12/30/99,0,2,0,1,Condition,SNOMED
type 1 diabetes,45449777,C107000,"Diabetes mellitus, juvenile type, with peripheral circulatory disorder",Read,Non-Standard,12/31/69,12/30/99,1,1,0,0,Condition,Read
type 1 diabetes,45443099,C108D12,Type 1 diabetes mellitus with nephropathy,Read,Non-Standard,3/31/14,12/30/99,1,1,0,0,Condition,Read
type 1 diabetes,45463261,C108J11,Type I diabetes mellitus with neuropathic arthropathy,Read,Non-Standard,12/31/69,12/30/99,1,1,0,0,Condition,Read
type 1 diabetes,45433196,C108912,Type 1 diabetes mellitus maturity onset,Read,Non-Standard,12/31/69,12/30/99,1,1,0,0,Condition,Read
type 1 diabetes,45769837,7.2141E+13,Chronic ulcer of skin due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,1,1,1,1,Condition,SNOMED
type 1 diabetes,45489960,C108C11,Type I diabetes mellitus with polyneuropathy,Read,Non-Standard,3/31/14,12/30/99,1,1,0,0,Condition,Read
type 1 diabetes,45489966,C10EP11,Type I diabetes mellitus with exudative maculopathy,Read,Non-Standard,12/31/69,12/30/99,1,1,0,0,Condition,Read
type 1 diabetes,45463259,C108A11,Type I diabetes mellitus without complication,Read,Non-Standard,12/31/69,12/30/99,1,1,0,0,Condition,Read
type 1 diabetes,45443098,C108412,Unstable type 1 diabetes mellitus,Read,Non-Standard,12/31/69,12/30/99,1,1,0,0,Condition,Read
type 1 diabetes,45523148,C108411,Unstable type I diabetes mellitus,Read,Non-Standard,12/31/69,12/30/99,1,1,0,0,Condition,Read
type 1 diabetes,45503177,C10E011,Type I diabetes mellitus with renal complications,Read,Non-Standard,3/31/14,12/30/99,1,1,0,0,Condition,Read
type 1 diabetes,45439819,C10EL11,Type I diabetes mellitus with persistent microalbuminuria,Read,Non-Standard,3/31/14,12/30/99,1,1,0,0,Condition,Read
type 1 diabetes,45436527,C10E111,Type I diabetes mellitus with ophthalmic complications,Read,Non-Standard,12/31/69,12/30/99,1,1,0,0,Condition,Read
type 1 diabetes,45436524,C108B11,Type I diabetes mellitus with mononeuropathy,Read,Non-Standard,12/31/69,12/30/99,1,1,0,0,Condition,Read
type 1 diabetes,609115,16747741000119100,Proliferative retinopathy of left eye due to diabetes mellitus type 1,Disorder,Standard,1/30/21,12/30/99,1,1,1,1,Condition,SNOMED
type 1 diabetes,609070,3.68541E+14,Cheiroarthropathy due to diabetes mellitus type 1,Disorder,Standard,1/30/21,12/30/99,1,1,1,1,Condition,SNOMED
type 1 diabetes,45436523,C108612,Type 1 diabetes mellitus with gangrene,Read,Non-Standard,3/31/14,12/30/99,1,1,0,0,Condition,Read
type 1 diabetes,40543500,371054002,Type 1 diabetes mellitus with complication,Disorder,Non-Standard,7/30/02,7/30/06,1,1,0,0,Condition,SNOMED
type 1 diabetes,45433198,C108H11,Type I diabetes mellitus with arthropathy,Read,Non-Standard,12/31/69,12/30/99,1,1,0,0,Condition,Read
type 1 diabetes,45456473,C108112,Type 1 diabetes mellitus with ophthalmic complications,Read,Non-Standard,3/31/14,12/30/99,1,1,0,0,Condition,Read
type 1 diabetes,45757393,1.28001E+14,Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,1,1,1,1,Condition,SNOMED
type 1 diabetes,45466588,C108611,Type I diabetes mellitus with gangrene,Read,Non-Standard,3/31/14,12/30/99,1,1,0,0,Condition,Read
type 1 diabetes,45433199,C10EC11,Type I diabetes mellitus with polyneuropathy,Read,Non-Standard,12/31/69,12/30/99,1,1,0,0,Condition,Read
type 1 diabetes,45480757,PKyP.00,"Diabetes insipidus, diabetes mellitus, optic atrophy and deafness",Read,Non-Standard,3/31/14,12/30/99,1,1,0,0,Condition,Read
type 1 diabetes,45453117,C10EN11,Type I diabetes mellitus with ketoacidotic coma,Read,Non-Standard,12/31/69,12/30/99,0,0,0,0,Condition,Read
type 1 diabetes,45516613,C10EB11,Type I diabetes mellitus with mononeuropathy,Read,Non-Standard,3/31/14,12/30/99,0,0,0,0,Condition,Read
type 1 diabetes,45446449,C108F12,Type 1 diabetes mellitus with diabetic cataract,Read,Non-Standard,3/31/14,12/30/99,0,0,0,0,Condition,Read
type 1 diabetes,3522660,5.0201E+13,Type I diabetes mellitus,Undefined,Non-Standard,1/30/04,1/30/04,0,0,0,0,Observation,SNOMED
type 1 diabetes,42689695,1067201000000106,Eating disorder co-occurrent with diabetes mellitus type 1,Disorder,Standard,3/31/17,12/30/99,0,0,0,0,Condition,SNOMED
type 1 diabetes,3550980,7.8441E+13,Type 1 diabetes mellitus with ketoacidosis,Undefined,Non-Standard,1/30/04,1/30/04,0,0,0,0,Observation,SNOMED
type 1 diabetes,3522467,4.3651E+13,Type I diabetes mellitus with polyneuropathy,Undefined,Non-Standard,1/30/04,1/30/04,0,0,0,0,Observation,SNOMED
type 1 diabetes,40386759,190367005,Unstable type I diabetes mellitus,Disorder,Non-Standard,1/30/02,1/30/02,0,0,0,0,Condition,SNOMED
type 1 diabetes,45499871,C10EJ11,Type I diabetes mellitus with neuropathic arthropathy,Read,Non-Standard,3/31/14,12/30/99,0,0,0,0,Condition,Read
type 1 diabetes,45453106,C108911,Type I diabetes mellitus maturity onset,Read,Non-Standard,12/31/69,12/30/99,0,0,0,0,Condition,Read
type 1 diabetes,40386758,190366001,Type I diabetes mellitus with multiple complications,Disorder,Non-Standard,1/30/02,7/30/06,0,0,0,0,Condition,SNOMED
type 1 diabetes,45423315,C10EK11,Type I diabetes mellitus with persistent proteinuria,Read,Non-Standard,3/31/14,12/30/99,0,0,0,0,Condition,Read
type 1 diabetes,3571533,1051101000000103,Pregnancy and insulin-dependent diabetes mellitus,Undefined,Non-Standard,3/31/16,3/31/16,0,0,0,0,Observation,SNOMED
type 1 diabetes,45459826,C10y000,"Diabetes mellitus, juvenile type, with other specified manifestation",Read,Non-Standard,3/31/14,12/30/99,0,0,0,0,Condition,Read
type 1 diabetes,45420113,C108211,Type I diabetes mellitus with neurological complications,Read,Non-Standard,12/31/69,12/30/99,0,0,0,0,Condition,Read
type 1 diabetes,44810563,8.88191E+14,Type I diabetes mellitus in remission,Disorder,Non-Standard,9/30/13,9/30/14,0,0,0,0,Condition,SNOMED
type 1 diabetes,45446450,C10EH11,Type I diabetes mellitus with arthropathy,Read,Non-Standard,3/31/14,12/30/99,0,0,0,0,Condition,Read
type 1 diabetes,45769829,7.1721E+13,Nephrotic syndrome due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,0,0,0,0,Condition,SNOMED
type 1 diabetes,3522661,5.0221E+13,Type I diabetes mellitus with arthropathy,Undefined,Non-Standard,1/30/04,1/30/04,0,0,0,0,Observation,SNOMED
type 1 diabetes,40575609,401109007,Type 1 diabetes mellitus with persistent proteinuria,Disorder,Non-Standard,7/30/03,7/30/06,0,0,0,0,Condition,SNOMED
type 1 diabetes,3551089,8.3021E+13,Type 1 diabetes mellitus with persistent microalbuminuria,Undefined,Non-Standard,1/30/04,1/30/04,0,0,0,0,Observation,SNOMED
type 1 diabetes,40386775,190381007,Type I diabetes mellitus with neuropathic arthropathy,Disorder,Non-Standard,1/30/02,1/30/02,0,0,0,0,Condition,SNOMED
type 1 diabetes,37165632,1255271005,"Juvenile-onset diabetes mellitus, central and peripheral neurodegeneration syndrome",Disorder,Standard,10/30/22,12/30/99,0,0,0,0,Condition,SNOMED
type 1 diabetes,40518515,314368001,Type I diabetes mellitus with mononeuropathy,Disorder,Non-Standard,1/30/02,7/30/06,0,0,0,0,Condition,SNOMED
type 1 diabetes,45453107,C108B12,Type 1 diabetes mellitus with mononeuropathy,Read,Non-Standard,3/31/14,12/30/99,0,0,0,0,Condition,Read
type 1 diabetes,45493233,C108G12,Type 1 diabetes mellitus with peripheral angiopathy,Read,Non-Standard,3/31/14,12/30/99,0,0,0,0,Condition,Read
type 1 diabetes,40584359,408287009,Type 1 diabetes mellitus with exudative maculopathy,Disorder,Non-Standard,1/30/04,7/30/06,0,0,0,0,Condition,SNOMED
type 1 diabetes,3527637,3.35631E+14,Latent autoimmune diabetes mellitus in adult,Disorder,Non-Standard,3/31/08,3/31/08,0,0,0,0,Condition,SNOMED
type 1 diabetes,40386770,190377007,Type I diabetes mellitus with hypoglycemic coma,Disorder,Non-Standard,1/30/02,1/30/02,0,0,0,0,Condition,SNOMED
type 1 diabetes,3522926,8.2991E+13,Type I diabetes mellitus with peripheral angiopathy,Undefined,Non-Standard,1/30/04,1/30/04,0,0,0,0,Observation,SNOMED
type 1 diabetes,45523155,C10EF11,Type I diabetes mellitus with diabetic cataract,Read,Non-Standard,3/31/14,12/30/99,0,0,0,0,Condition,Read
type 1 diabetes,3522465,4.3581E+13,Type I diabetes mellitus with ulcer,Undefined,Non-Standard,1/30/04,1/30/04,0,0,0,0,Observation,SNOMED
type 1 diabetes,765533,6.0981E+13,Glaucoma due to diabetes mellitus type 1,Disorder,Standard,2/29/16,12/30/99,0,0,0,0,Condition,SNOMED
type 1 diabetes,37168689,1285518004,Wolfram syndrome type 1,Disorder,Standard,6/29/23,12/30/99,0,0,0,0,Condition,SNOMED
type 1 diabetes,45433200,C10EH12,Insulin dependent diabetes mellitus with arthropathy,Read,Non-Standard,3/31/14,12/30/99,0,0,0,0,Condition,Read
type 1 diabetes,45519841,C108G11,Type I diabetes mellitus with peripheral angiopathy,Read,Non-Standard,3/31/14,12/30/99,0,0,0,0,Condition,Read
type 1 diabetes,3570232,1.98661E+14,Type 1 diabetes mellitus with gastroparesis,Disorder,Non-Standard,3/31/06,3/31/11,0,0,0,0,Condition,SNOMED
type 1 diabetes,45506459,C10ED11,Type I diabetes mellitus with nephropathy,Read,Non-Standard,3/31/14,12/30/99,0,0,0,0,Condition,Read
type 1 diabetes,45493232,C108C12,Type 1 diabetes mellitus with polyneuropathy,Read,Non-Standard,3/31/14,12/30/99,0,0,0,0,Condition,Read
type 1 diabetes,609118,16748741000119101,Proliferative retinopathy of right eye due to diabetes mellitus type 1,Disorder,Standard,1/30/21,12/30/99,0,0,0,0,Condition,SNOMED
type 1 diabetes,45769892,8.7491E+13,Ulcer of forefoot due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,0,0,0,0,Condition,SNOMED
